safe_apply,review_reason,id,brand,name_ja,model,official_weight_grams,weight_grams,msrp_jpy,verification_status,candidate_weight_grams,candidate_msrp_jpy,source_url,weight_snippet,price_snippet
,source_is_listing_or_family_page,32adc51e-9fbe-4a77-8869-2266f40e5692,finetrack,カミナドーム1,カミナドーム1,1130,1130,,verified,1280,,https://www.finetrack.com/products/kamina-dome/,"重量は1,280g",
,source_is_listing_or_family_page,3f3203d3-276c-4917-a771-d9cb5f03eb7c,finetrack,カミナドーム1 フットプリント,カミナドーム1 フットプリント,,,,needs_review,1280,,https://www.finetrack.com/products/kamina-dome/,"重量は1,280g",
,source_is_listing_or_family_page,2e1ddc3a-da38-4e7c-8945-3a636f0e328a,finetrack,カミナドーム2,カミナドーム2,1310,1310,,verified,1280,,https://www.finetrack.com/products/kamina-dome/,"重量は1,280g",
,source_is_listing_or_family_page,43c8e4d8-9c22-4447-8367-f07735769962,finetrack,カミナドーム2 フットプリント,カミナドーム2 フットプリント,,,,needs_review,1280,,https://www.finetrack.com/products/kamina-dome/,"重量は1,280g",
,source_is_listing_or_family_page,48b8f3a1-b189-4e0c-8302-04e667cf9010,finetrack,カミナドーム4,カミナドーム4,1860,1860,,verified,1280,,https://www.finetrack.com/products/kamina-dome/,"重量は1,280g",
,source_is_listing_or_family_page,19837f12-fc7a-4f4d-abc5-72d961c8a36d,finetrack,カミナモノポール1,カミナモノポール1,890,890,,verified,800,,https://www.finetrack.com/products/kamina-monopole/,重量・サイズ一覧 基本の設営手順 開発の背景 特長 features そんな人におすすめしたい、 新たなテントの選択肢 一人用で800g,
,source_is_listing_or_family_page,bce09673-644a-4b49-baf0-ef6b5e962642,finetrack,カミナモノポール2,カミナモノポール2,990,990,,verified,800,,https://www.finetrack.com/products/kamina-monopole/,重量・サイズ一覧 基本の設営手順 開発の背景 特長 features そんな人におすすめしたい、 新たなテントの選択肢 一人用で800g,
,,aad89d40-b629-42df-9083-a82e70fc199c,finetrack,カミノパンツ,カミノパンツ,,,,needs_review,,,https://www.finetrack.com/products/,,
,source_is_listing_or_family_page,92e9d564-5071-4557-a807-0e5c21c7f9ea,finetrack,ゴージュタープ,ゴージュタープ,455,455,,verified,300,,https://www.finetrack.com/products/gorge-tarp/,重量：300g,
,source_is_listing_or_family_page,127d46dd-40ca-4f33-8248-15a702950190,finetrack,ゴージュタープミニ,ゴージュタープミニ,300,300,,verified,300,,https://www.finetrack.com/products/gorge-tarp/,重量：300g,
,,8f69e196-c1bf-4d5a-98b9-82302f7246b4,finetrack,ツエルト2,ツエルト2,,,,needs_review,,,https://www.finetrack.com/products/zelt/,,
,,1913537e-b401-43d3-813f-067978a23204,finetrack,ドライレイヤーウォームロングスリーブ,ドライレイヤーウォームロングスリーブ,,,,needs_review,,,https://www.finetrack.com/products/,,
,,4dc304b2-f571-4279-9f4d-4ca8f8482206,finetrack,ドライレイヤークールT,ドライレイヤークールT,,,,needs_review,,,https://www.finetrack.com/products/,,
,,ee7362cb-6b6e-4346-b188-5ff9fb9a12aa,finetrack,ドライレイヤーベーシックT,ドライレイヤーベーシックT,,,,needs_review,,,https://www.finetrack.com/products/,,
,,5aa633fb-eeb6-479e-ab23-f02d63eaf45f,finetrack,ドラウトクロージャケット,ドラウトクロージャケット,,,,needs_review,,,https://www.finetrack.com/products/,,
,,41fcf17c-c717-41ce-8e75-9847e6eb59e3,finetrack,ナノタオル,ナノタオル,,,,needs_review,,,https://www.finetrack.com/products/,,
,,4bac0e06-ae46-4785-80ff-99a63d5ad019,finetrack,フロウラップフーディ,フロウラップフーディ,,,,needs_review,,,https://www.finetrack.com/products/,,
,,fd09b5b1-89ee-430a-92d8-c20878c41619,finetrack,ポリゴンULジャケット,ポリゴンULジャケット,,,,needs_review,,,https://www.finetrack.com/products/,,
,,881863eb-43ee-4b69-a686-cafd2496084c,finetrack,メリノスピンライトロングスリーブ,メリノスピンライトロングスリーブ,,,,needs_review,,,https://www.finetrack.com/products/,,
,scrape_error:http_403;source_is_listing_or_family_page,051f4953-46c6-41a5-a3e2-014921e1bdf0,Osprey,エイジャ48,エイジャ48,,,,needs_review,,,https://www.osprey.com/,,
,source_is_listing_or_family_page,37c98422-7c0a-40a7-ad77-1d3fb851a4c3,Osprey,エクソス48,エクソス48,,,,needs_review,,,https://www.osprey.com/,,
,scrape_error:http_403;source_is_listing_or_family_page,67bcabfe-d1b9-446c-97a2-a06cb01680f6,Osprey,シラス26,シラス26,,,,needs_review,,,https://www.osprey.com/,,
,source_is_listing_or_family_page,dbf2bf2d-b58b-491e-9cd0-d8e94a204adf,Osprey,シラス36,シラス36,,,,needs_review,,,https://www.osprey.com/,,
,scrape_error:http_403;source_is_listing_or_family_page,b4acc449-411f-4961-b963-35f699ccd04d,Osprey,ストラトス26,ストラトス26,,,,needs_review,,,https://www.osprey.com/,,
,source_is_listing_or_family_page,2482747c-0ad2-4340-ad78-8a4dfda93fab,Osprey,ストラトス36,ストラトス36,,,,needs_review,,,https://www.osprey.com/,,
,scrape_error:http_403;source_is_listing_or_family_page,a83d6c2d-f8d9-4db3-99be-363286c9118e,Osprey,タロン22,タロン22,,,,needs_review,,,https://www.osprey.com/,,
,source_is_listing_or_family_page,80cf8698-ebce-40e5-acb3-1e9de5f2eb88,Osprey,タロン33,タロン33,,,,needs_review,,,https://www.osprey.com/,,
,scrape_error:http_403;source_is_listing_or_family_page,da2e977d-06c2-4e27-a6c1-347b78301729,Osprey,タロン44,タロン44,,,,needs_review,,,https://www.osprey.com/,,
,source_is_listing_or_family_page,ff587634-a79c-41a2-a67a-42f364876141,Osprey,テンペスト20,テンペスト20,,,,needs_review,,,https://www.osprey.com/,,
,scrape_error:http_403;source_is_listing_or_family_page,eb6b591a-2d19-418e-90fd-cdd3b2be88a6,Osprey,テンペスト30,テンペスト30,,,,needs_review,,,https://www.osprey.com/,,
,source_is_listing_or_family_page,6bcb12d2-0210-49a8-80b3-cd48e056079d,Osprey,ハイクライト18,ハイクライト18,,,,needs_review,,,https://www.osprey.com/,,
,scrape_error:http_403;source_is_listing_or_family_page,e54ceec4-8179-4c97-93a0-76beaa25ed4f,Osprey,ハイクライト26,ハイクライト26,,,,needs_review,,,https://www.osprey.com/,,
,source_is_listing_or_family_page,68f6a60b-b9ea-48ce-a3a7-7c5793b98be7,Osprey,ミュータント38,ミュータント38,,,,needs_review,,,https://www.osprey.com/,,
,source_is_listing_or_family_page,8a686a94-deed-492a-8e8c-e666fa0669d9,Petzl,ACTIK,ACTIK,98,98,,verified,98,,https://www.petzl.com/INT/en/Sport/Headlamps/ACTIK,Weight: 98 g,
,source_is_listing_or_family_page,26784443-9cdb-495a-90e6-4b60a892ca59,Petzl,ACTIK CORE,ACTIK CORE,88,88,,verified,88,,https://www.petzl.com/INT/en/Sport/Headlamps/ACTIK-CORE,Weight: 88 g,
,source_is_listing_or_family_page,8539594d-c874-4205-97ef-27329fbca0ad,Petzl,ARIA 1 RGB,ARIA 1 RGB,,,,needs_review,,,https://www.petzl.com/INT/en/Sport/Headlamps,,
,source_is_listing_or_family_page,7a1ee0c5-1895-45b7-9143-d07629228b79,Petzl,ARIA 2 RGB,ARIA 2 RGB,,,,needs_review,,,https://www.petzl.com/INT/en/Sport/Headlamps,,
,source_is_listing_or_family_page,3774c498-5ee3-4ab4-a2aa-d7bb072f0b4c,Petzl,ARIA 2R,ARIA 2R,,,,needs_review,,,https://www.petzl.com/INT/en/Sport/Headlamps,,
,source_is_listing_or_family_page,37be6e0f-59d3-4870-a80f-3a1b44ad8eb4,Petzl,BINDI,BINDI,,,,needs_review,,,https://www.petzl.com/INT/en/Sport/Headlamps,,
,source_is_listing_or_family_page,ec43d109-e419-4ccb-904a-f6d6f2347889,Petzl,BOREO,BOREO,,,,needs_review,170,,https://www.petzl.com/INT/en/Sport/Helmets,WEIGHT PERFORMANCE Ultra-lightweight 170 g,
,source_is_listing_or_family_page,991ccc85-a1aa-429f-b1c9-589e28b90432,Petzl,IKO,IKO,,,,needs_review,,,https://www.petzl.com/INT/en/Sport/Headlamps,,
,source_is_listing_or_family_page,b91e74c9-0290-4807-a621-2b39dad8dad9,Petzl,IKO CORE,IKO CORE,79,79,,verified,79,,https://www.petzl.com/INT/en/Sport/Headlamps/IKO-CORE,weight of only 79 g,
,source_is_listing_or_family_page,aca97990-3dea-4604-b54b-3bc948f73099,Petzl,METEOR,METEOR,,,,needs_review,170,,https://www.petzl.com/INT/en/Sport/Helmets,WEIGHT PERFORMANCE Ultra-lightweight 170 g,
,source_is_listing_or_family_page,b9921d1c-586d-44cd-b9ef-b7b67ae121ce,Petzl,NAO RL,NAO RL,,,,needs_review,,,https://www.petzl.com/INT/en/Sport/Headlamps,,
,source_is_listing_or_family_page,73172134-dca1-48fb-9811-e51e59221b9f,Petzl,SWIFT RL,SWIFT RL,92,92,,verified,92,,https://www.petzl.com/INT/en/Sport/Headlamps/SWIFT-RL,Weight: 92 g,
,source_is_listing_or_family_page,d5ee928f-64bd-48b3-9ca1-fc1e648ea8ff,Petzl,TACTIKKA,TACTIKKA,,,,needs_review,,,https://www.petzl.com/INT/en/Sport/Headlamps,,
,source_is_listing_or_family_page,68a7a1e0-a09d-4a67-986a-175694fe37fa,Petzl,TACTIKKA CORE,TACTIKKA CORE,,,,needs_review,,,https://www.petzl.com/INT/en/Sport/Headlamps,,
,source_is_listing_or_family_page,28a64247-d87f-4252-9c50-311b17399e97,Petzl,TIKKA,TIKKA,94,94,,verified,94,,https://www.petzl.com/INT/en/Sport/Headlamps/TIKKA,Weight: 94 g,
,source_is_listing_or_family_page,8ca84e74-20c5-41e9-8949-ec5a8cf4a449,Petzl,TIKKA CORE,TIKKA CORE,84,84,,verified,84,,https://www.petzl.com/INT/en/Sport/Headlamps/TIKKA-CORE,Weight: 84 g,
,bad_price_snippet,0acec8ae-d2ff-43f3-b7e0-1357ad53c5b7,Snow Peak,チタン先割れスプーン,Titanium Spork,16,16,,verified,,1515,https://www.snowpeak.com/products/titanium-spork,,"price) : ''"" style=""display:none"" > Uncolored Blue Green Purple = (variant ? variant.quantity : 1515"
,,801dd5bb-d4b2-4574-9921-36429dc3d097,THE NORTH FACE,フットプリント/マウンテンショット1,フットプリント/マウンテンショット1,,,6600,needs_review,,6600,https://www.goldwin.co.jp/ap/item/i/m/NN32408,,"￥6,600"
,,2c8eb353-52e5-48eb-bdce-9b037e192055,THE NORTH FACE,フットプリント/マウンテンショット2,フットプリント/マウンテンショット2,,,7700,needs_review,,7700,https://www.goldwin.co.jp/ap/item/i/m/NN32407,,"￥7,700"
,scrape_error:http_404,04b7c025-b597-4d8c-8834-257084f778ea,Therm-a-Rest,NeoAir XTherm NXT MAX レギュラーワイド,NeoAir XTherm NXT MAX Regular Wide,652,652,,verified,,,https://www.thermarest.com/sleeping-pads/fast-and-light/neoair-r-xtherm-nxt-max-sleeping-pad/neoair-r-xtherm-nxt-max.html,,
,scrape_error:http_404,a875c87d-88b1-4f3c-a693-aee4ebf0a2f2,Therm-a-Rest,Original Z Lite,Original Z Lite,397,397,,verified,,,https://www.thermarest.com/sleeping-pads/trek-and-travel/original-z-lite-sleeping-pad/original-z-lite.html,,
,scrape_error:http_404,59273438-5547-4588-8681-0db8468f528a,Therm-a-Rest,ProLite Apex レギュラー,ProLite Apex Regular,624,624,,verified,,,https://www.thermarest.com/sleeping-pads/trek-and-travel/prolite-apex-sleeping-pad/prolite-apex.html,,
,scrape_error:http_404,3cfa4e4f-b7cb-488d-ad57-88e778a880bc,Therm-a-Rest,ProLite Plus レギュラー,ProLite Plus Regular,652,652,,verified,,,https://www.thermarest.com/sleeping-pads/trek-and-travel/prolite-plus-sleeping-pad/prolite-plus.html,,
,scrape_error:http_404,72cf086e-c764-461d-b4b3-41d03315c1b8,Therm-a-Rest,Z Lite SOL レギュラー,Z Lite SOL Regular,397,397,,verified,,,https://www.thermarest.com/sleeping-pads/trek-and-travel/z-lite-sol-sleeping-pad/z-lite-sol.html,,
,source_is_listing_or_family_page;bad_price_snippet,75ebecea-8378-4617-8255-1ac1cb39840f,山と道,100% Merino Hoody,100% Merino Hoody,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,24e3e111-3514-4aa7-ab17-00d8ddc49f4f,山と道,100% Merino Light Long Sleeve,100% Merino Light Long Sleeve,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,d6bdd74c-155b-4404-894e-ff27d0ded994,山と道,5-Pocket Pants,5-Pocket Pants,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,4f9682ae-5725-4284-af95-26cbbdc50e15,山と道,5-Pocket Shorts,5-Pocket Shorts,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,9b32957b-b394-4034-a2e7-419d1219ca7a,山と道,Alpha Anorak,Alpha Anorak,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,cbe90a7d-279a-4b90-84fe-df0fa6891dac,山と道,Alpha Haramaki,Alpha Haramaki,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,83079b8a-a21d-4c65-a47c-fd3be1897254,山と道,Bamboo Shirt,Bamboo Shirt,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,22795b6f-8239-4363-a127-1819be03c6e6,山と道,DW 5-Pocket Pants,DW 5-Pocket Pants,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,02fcca9e-4a01-49f7-8b42-45e201873ecd,山と道,Light 5-Pocket Pants,Light 5-Pocket Pants,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,205e0589-4658-49ef-aa4b-50d9d415d206,山と道,Light Alpha Tights,Light Alpha Tights,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,8ab9fb99-6005-4494-83a0-ee9433887f03,山と道,Merino Knit Cap,Merino Knit Cap,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,a25640e2-7108-417d-a611-415e74239ff0,山と道,Only Hood,Only Hood,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
,source_is_listing_or_family_page;bad_price_snippet,19aeae13-5b3b-4312-8225-22f57e0e0acd,山と道,UL Short Sleeve Shirt,UL Short Sleeve Shirt,,,,needs_review,,82000,https://shop.yamatomichi.com/collections/all,,"価格 最高価格は¥82,000"
